UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
Jali,@ohsijali,2021-04-23T11:28:55.000Z,"Replying to 
@joestz_",Maksudnyaa?,,1,,,[],https://twitter.com/ohsijali/status/1385556285244854280,kolak
ジ Joe,@joestz_,2021-04-23T13:44:30.000Z,"Iyaa Kolak mas Sijali, wkwk maksudnya gmna wkwk ",,😂,,,,[],https://twitter.com/joestz_/status/1385590406667071492,kolak
Jali,@ohsijali,2021-04-23T10:47:01.000Z,"Replying to 
@joestz_",Kolak adek wk,,1,,,[],https://twitter.com/ohsijali/status/1385545740303224839,kolak
ジ Joe,@joestz_,2021-04-23T10:54:49.000Z,Kolak punya kamu itu apa mas Bakul ,,🤭 😂,1,,,[],https://twitter.com/joestz_/status/1385547702356766725,kolak
빛_Kamalia,@LyaCamaL,2021-04-25T11:07:24.000Z,Ketagihan bikin kolak sendiri ,,😁,,,,[],https://twitter.com/LyaCamaL/status/1386275644791689220,kolak
Avoskin Official,@avoskinbeauty,2021-04-24T20:00:00.000Z,"Saatnya sahur bersama Avoskin! 
Coba lanjutkan pantun di bawah ini dengan reply tweet ini ya Sahabat Avo, jangan lupa sertakan #GlowinRamadhan . 
Seperti biasa, akan ada 1 orang beruntung yang mendapatkan special gift dari Avoskin. ",,😘 ✨ 🤭,119,14,51,['https://pbs.twimg.com/media/EzvescsVEAMMnHp?format=jpg&name=small'],https://twitter.com/avoskinbeauty/status/1386047293648998406,kolak
Hobitaminophenum,@oleum_rosae,2021-04-24T20:44:30.000Z,"Buka puasa di rumah saja
Bukanya pakai kolak
Avoskin terbaik sepanjang masa
Itu fakta nyata, gak bisa dielak

 (*^^*)
#GlowInRamadhan",,💜 💜,,,,[],https://twitter.com/oleum_rosae/status/1386058489206824962,kolak
Ahmad Rakha' Maulana,@rakhamaulana__,2021-04-24T23:08:21.000Z,mashaallah akhi kyrie takjil teng amerika dhahar nopo? enten kolak mboten?,"Quote Tweet
A. Ainur Rohman
@ainurohman
 · 25 Apr
Akhirnya, untuk kali pertama, Kyrie Irving membicarakan secara terbuka bahwa dia sudah masuk Islam.

Dan Irving langsung ikut menjalankan ibadah puasa perdananya.",,,,1,"['https://pbs.twimg.com/profile_images/1171270899649015808/ZDTJxzHN_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1385800152435286016/pu/img/pzEBEs9vgNQ3Ex3o.jpg']",https://twitter.com/rakhamaulana__/status/1386094690731241477,kolak
𝚌𝚊𝚛𝙾𝙻𝙸𝙽𝚊 𝚛𝚒𝚊 𝚘𝚔𝚝.,@genduti,2021-04-26T13:34:53.000Z,"Replying to 
@DonnieAulia",Saya maunya kolak. ,😝,1,,,[],https://twitter.com/genduti/status/1386675148309221376,kolak
Heeresgruppe Mitte,@DonnieAulia,2021-04-26T13:36:39.000Z,"Kalo kolak langsung minta sama Mbak Tarminah, tp tlg diicipi sedikit, takute keliru jangan lodeh.",,,1,,,[],https://twitter.com/DonnieAulia/status/1386675593148731392,kolak
ica,@noliesly,2021-04-23T12:35:09.000Z,"Replying to 
@FOOD_FESS",kolak ubi,🌬,,,,[],https://twitter.com/noliesly/status/1385572952310116356,kolak
pyororong,@catstrph,2021-04-23T17:21:57.000Z,"Replying to 
@xslfnx",Kukuliti buah zakarmu,🐈,1,,,[],https://twitter.com/catstrph/status/1385645129780715522,kolak
Bu Yusup,@xslfnx,2021-04-23T17:22:35.000Z,tak gawe kolak lalu tak buang begitu saja,,,1,,,[],https://twitter.com/xslfnx/status/1385645289847939073,kolak
Robet,@axolotl_brown,2021-04-23T10:47:19.000Z,"Replying to 
@missfajriah99",Kolak+rokok,,,,,[],https://twitter.com/axolotl_brown/status/1385545816236990466,kolak
Widodo farm,@widodocayo,2021-04-23T04:44:30.000Z,"Replying to 
@ChusnulCh__
 @airlangga_hrt
  and 4 others",Tanpa jaminan?,,1,,,[],https://twitter.com/widodocayo/status/1385454508696772609,kolak
gagal sarjana,@phee_nophee,2021-04-23T06:07:42.000Z,Enak buat Kolak,,,,,,[],https://twitter.com/phee_nophee/status/1385475446620385281,kolak
IM3 Ooredoo,@IM3Ooredoo,2021-04-25T10:00:00.000Z,"Pasti enak banget tuh kalau buka itu, kira-kira apa ya?

Langsung RT dan reply jawaban kamu, sertakan hashtag #BerkahBerbuka #SilaturahmiTanpaHenti
 dan jangan lupa mention 3 temen kamu ya. Syarat dan ketentuan klik https://bit.ly/BerkahBerbuka2021…",,,80,64,44,['https://pbs.twimg.com/media/EzzySe4UUAQENsr?format=jpg&name=small'],https://twitter.com/IM3Ooredoo/status/1386258685513670659,kolak
azahwan,@azahwan1,2021-04-25T10:05:30.000Z,"A. Kolak Pisang 
@nda_ra88
 @rosaclaudia_r
 @HakimGhendut
 #BerkahBerbuka #SilaturahmiTanpaHenti",,,,2,,[],https://twitter.com/azahwan1/status/1386260067566063627,kolak
DeSΣniTy,@kamu_csy,2021-04-18T09:18:00.000Z,"Replying to 
@_amiimoodz","Aku lagi pengen sop buah, terus makannya sapotahu keknya ena 
 ",🌏 😘 🤣,1,,,[],https://twitter.com/kamu_csy/status/1383711398774001666,sop buah
Mita Wullur,@MitaWullur,2021-04-16T00:00:47.000Z,"Selamat pagi.... hari ini Jumat ya... yuuuk ah aku ada 50rb buat dua orang buat beli kolak ato es buah di gerobak mamang sebelah. 

Gopay aja ya... cuma jawab mau... kalo nggak mau juga nggak apa.. aku jajan sendiri aja 
End jam 15.00 biar sempet beli nya",,😎,175,85,156,['https://pbs.twimg.com/media/EzDbdyfUYAUteIn?format=jpg&name=small'],https://twitter.com/MitaWullur/status/1382846395162394626,es campur
diah wulandari,@subindiahneelam,2021-04-16T00:07:42.000Z,"Mauuuuuuuu makek kebangetan mom 
,
Jadi pengen sahur 1xn berbuka puasa skg ngliat kolak pisang + es campur ny mommy 
,",,💃 💃 💃 💃 💃 💃 🤣 🤣 🤣 🤣 🙈,,,1,[],https://twitter.com/subindiahneelam/status/1382848135131664385,es campur
Mell,@Mella2420,2021-04-13T06:49:34.000Z,Aduh pengen es campur pakek susu ,,🙄,,,,[],https://twitter.com/Mella2420/status/1381862105326833666,es campur
WICAK,@PEMUD4rk,2021-04-16T10:07:30.000Z,"Replying to 
@dwiebob1
 and 
@riothrq",Orang tua nih solusi buat dwi,,2,,,[],https://twitter.com/PEMUD4rk/status/1382999081098698753,es campur
KangSuntik!,@ariefmuhammad_s,2021-04-16T22:00:37.000Z,Es anggur dong jadinya bukan es campur,,,1,,,[],https://twitter.com/ariefmuhammad_s/status/1383178543861886978,es campur
Echa lagi suka drakoran,@catatansicucuth,2021-04-14T06:34:43.000Z,Hayo pilih mana diaduk atau nggak,,,3,,,['https://pbs.twimg.com/media/Ey6ictAUYAA00oG?format=jpg&name=small'],https://twitter.com/catatansicucuth/status/1382220757707550720,es campur
Hidayah Sulistyowati ~ Lifestyle Blogger,@Hidayah_Art,2021-04-14T06:46:58.000Z,Aduduhh... Kalo es campur enakan diaduk ,,😂,,,,[],https://twitter.com/Hidayah_Art/status/1382223839631872002,es campur
