UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
ULik,@sriuliina,2021-04-25T11:29:01.000Z,"Kali ini buat minuman seger, es cincau.

Selamat berbuka puasa manteman",,😊,,,1,['https://pbs.twimg.com/media/Ez0PSO0VIAg1N2a?format=jpg&name=900x900'],https://twitter.com/sriuliina/status/1386281086188015616,es cincau
patt,@patthesiour23,2021-04-25T10:42:51.000Z,Sumpah tdi pgn es krim cincau tpi bapak gue malah ngajak balikk,,,1.0,,,[],https://twitter.com/patthesiour23/status/1386269467676528647,es cincau
del,@banghanteng,2021-04-25T11:27:28.000Z,ngga salah-salah minum es teh manis gulanya gula diet tp makan cincau pake susu kental manis banyak banget,,,,,,[],https://twitter.com/banghanteng/status/1386280696423927813,es cincau
,@audirga,2021-04-25T18:13:42.000Z,"1. sop buah
2. es blewah / cincau sirup merah gitu pokoknya tanpa susu sama santan
3. kurma
4. gorengan dan mendoan
5. es pisang ijo","Quote Tweet
Aimar Bumi.
@bumitaka
 · 25 Apr
Replying to @audirga
Takjil.",,,,,['https://pbs.twimg.com/profile_images/1389406952594178059/yx_u00ht_mini.jpg'],https://twitter.com/audirga/status/1386382927332737026,es cincau
Sam~,@escincau34,2021-04-28T00:44:23.000Z,Info huru hara ,,🤣,3.0,,2,[],https://twitter.com/escincau34/status/1387206021827883008,es cincau
kaka,@nikmatiah,2021-04-28T04:12:57.000Z,alhamdulillah dapet es cincau ,,😭,,,,[],https://twitter.com/nikmatiah/status/1387258509687803905,es cincau
Mieke Pelangi Wijaya,@myyk3,2021-04-28T10:46:28.000Z,Es milo cincau satu gelas gede. Ludes. Bawaannya pengen minummm trs.,,,,,,[],https://twitter.com/myyk3/status/1387357543865847815,es cincau
Rahmayanti Harahap,@Itakitakanjelay,2021-04-28T09:23:32.000Z,Es cincau santan brown sugar,,,1.0,,,[],https://twitter.com/Itakitakanjelay/status/1387336671914508289,es cincau
michelle,@punya_kucing,2021-04-28T19:30:21.000Z,"sambil menunggu sahur dan mengupload bab 2
minum es cincau yg dibikin buat buka wkwk",,,1.0,,,"['https://pbs.twimg.com/media/E0FZ_UmVkAMtLbz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0FZ_W9VUAI0ore?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0FZ_VeVoAAcA3Q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0FZ_YiUYAEGwfs?format=jpg&name=360x360']",https://twitter.com/punya_kucing/status/1387489379556335624,es cincau
"学生, babè tasya.",@spixnal,2021-04-28T04:20:27.000Z,"ini nihh es cincau, nyegerin banget",,,5.0,,,['https://pbs.twimg.com/media/E0CJ-nGUUAAnjpT?format=jpg&name=small'],https://twitter.com/spixnal/status/1387260396931751937,es cincau
dinda red velvet,@yoshikajja,2021-04-28T10:51:34.000Z,siapa yg batuk tpi masi minum es cincau sma mkan jajan,,🌙,2.0,,,[],https://twitter.com/yoshikajja/status/1387358826916028418,es cincau
